,area_atuacao
78,CONJUNTO ANTÔNIO LINS 
79,COQUEIRO SECO E CONJUNTO IMBURI 
80,UNIÃO DOS PALMARES 
81,ATALAIA;  MACEIÓ (CIDADE UNIVERSITÁRIA)
82,CAJUEIRO
83,MARECHAL DEODORO
84,VIÇOSA
85,MARECHAL DEODORO E ÁREA CORRESPONDENTE AO 1ºBPM
86,BARRA DE SÃO MIGUEL
87,REGINALDO (PREDINHOS/1A PONTE)
88,CLIMA BOM 1
89,CLIMA BOM
90,BARRA DE SÃO MIGUEL
91,BARRA DE SÃO MIGUEL E  PRAIA DOS COQUEIRAIS NO FRANCÊS
92,MARECHAL DEODORO
93,MARECHAL DEODORO
94,CIDADE SORRISO I
95,DANDARA
96,DANDARA
97,FAVELA DANDARA
98,ORIUNDO DA VILA BREJAL
99,FAVELA DANDARA
100,FAVELA DANDARA 
101,FAVELA DANDARA
102,CIDADE SORRISO I
103,VIRGEM DOS POBRES II
104,VIRGEM DOS POBRE II
105,"VERGEL DO LAGO, LEVADA E PONTA GROSSA "
106,PRADO
107,LEVADA E PRADO
108,MARECHAL DEODORO
109,MARECHAL DEODORO
110,RESIDENCIAL RECANTO DA ILHA - MASSAGUEIRA/MARECHAL DEODORO
111,CONJUNTO BARNABÉ TOLEDO - MARECHAL DEODORO
112,MARECHAL DEODORO
113,MARECHAL DEODORO
114,MARECHAL DEODORO
115,MASSAGUEIRA - MARECHAL DEODORO
116,CLIMA BOM (PRINCIPALMENTE ROSANE COLLOR E COLIBRI)
117,MARECHAL DEODORO
118,MARECHAL DEODORO
119,MARECHAL DEODORO
120,LIDER
121,MARECHAL DEODORO
122,CONJUNTO MACEIÓ I 
123,MACEIÓ I
124,ARAPIRACA
125,REGIÃO DAS CABREIRAS - MARECHAL DEODORO
126,CABREIRAS - MARECHAL DEODORO
127,BARRA NOVA - MARECHAL DEODORO
128,MALHADAS - MARECHAL DEODORO
129,ROSANE COLLOR/COLIBRI
130,CONJUNTO BARNABÉ TOLEDO - MARECHAL DEODORO
131,CONJUNTO BARNABÉ TOLEDO
132,CONJUNTO BARNABÉ TOLEDO - MARECHAL DEODORO
133,CLIMA BOM
134,RUA ESTIVA
135,MARECHAL DEODORO
136,"RISCA FACA, GROTA, SÃO BENTO NO MUNICÍPIO DE MARAGOGI,  E JAPARATINGA"
137,MARECHAL DEODORO
138,BARRA GRANDE
139,POVOADO BARRA GRANDE - MARAGOGI
140,CLIMA BOM
141,CLIMA BOM
142,PRAÇA SINIBU
143,VIRGEM DOS POBRES II
144,"CONJ JOAQUIM LEÃO, VERGEL DO LAGO"
145,PRADO (OURICURI)
146,JOAQUIM LEÃO
147,MARECHAL DEODORO
148,MACEIÓ E JOAQUIM GOMES 
149,PRAIA DO FRANCÊS
150,MACEIÓ E JOAQUIM GOMES
151,POVOADO CABREIRAS
152,JOAQUIM GOMES
153,JOAQUIM GOMES E ARAPIRACA
154,POVOADO CABREIRAS
155,"PALMARES - PE, COLÔNIA LEOPOLDINA - AL, XEXÉU - PE E DEMAIS CIDADES DA ZONA DA MATA SUL DE PERNAMBUCO."
156,PRAIA DO FRANCÊS
157,PERNAMBUCO E ALAGOAS
158,PERNAMBUCO E ALAGOAS
159,"FLEXEIRAS, RIO LARGO E MESSIAS."
160,MARECHAL DEODORO
161,CONJUNTO SÃO CAETANO
162,RESIDENCIAL MACEIÓ I / SÍTIO SÃO JORGE
163,RESIDENCIAL MACEIÓ I 
164,MARECHAL DEODORO
165,MARECHAL DEODORO
166,"ORIUNDO DA VILA BREJAL, LEVADA, MACEIÓ/AL"
167,MASSAGUEIRA
168,MARECHAL DEODORO
169,MARECHAL DEODORO
170,"VILA MATIAS, COHAB, BAIRRO VERMELHO, VALE DO SÃO FRANCISCO, VALE DO MARITUBA. ATUALMENTE ENCONTRA-SE EM SÃO PAULO."
171,BARRA DE SÃO MIGUEL
172,9ª CPM/I - CORURIPE-AL
173,BARRA DE SÃO MIGUEL
174,DENISSON AMORIM - MARECHAL DEODORO
175,MARECHAL DEODORO
176,FINAL
177,ALAMEDAS DA PAJUÇARA
178,CONJUNTO VALE BENTES 2
179,11º BPM
180,"VIRGEM DOS POBRES II, VERGEL DO LAGO"
181,
182,JATIÚCA
183,BREJAL (LEVADA)
184,PRADO (OURICURI) 
185,CORURIPE-AL
186,CONJUNTO OITICICA II
187,"CONJUNTO ALAMEDAS DA PAJUÇARA,"
188,CONJUNTO VALE BENTES 2
189,ALAMEDAS PAJUÇARA
190,ALAMEDAS DA PAJUÇARA
191,CORURIPE
192,CORURIPE
193,"ÁGUAS BELAS-PE, OURO BRANCO, MARAVILHA, CANAPIE E PAULO AFONSO-BA"
194,CORURIPE-AL
195,RESIDENCIAL JOSÉ DIAS
196,CABREIRAS
197,CONJUNTO RECANTO DA ILHA
198,BARRA DE SÃO MIGUEL - ALTO DA BARRA
199,CENTRO DE MARECHAL DEODORO
200,PEDRAS - MARECHAL DEODORO
201,11º BPM
202,MARECHAL DEODORO
203,CONJUNTO ERICK FERRAZ - MARECHAL DEODORO
204,ARAPIRACA
205,ERICK FERRAZ - MARECHAL DEODORO
206,CONJ ERICK FERRAZ
207,CENTRO - MARECHAL DEODORO
208,11º BPM
209,11º BPM
210,ARAPIRACA
211,VALE DO REGINALDO 
212,VALE DO REGINALDO
213,VALE DO REGINALDO
214,1A PONTE VALE DO REGINALDO
215,VALE DO REGINALDO
216,11º BPM
217,11º BPM
218,11º BPM
219,SÃO MIGUEL DOS CAMPOS
220,11º BPM
221,11º BPM
